japanese,english
コメディアン,comedian
サンスクリット,Sanskrit
決心,Determination
収拾,Settling
署長,Chief
チタン,Titanium
デュアル,dual
メディアミックス,Media Mix
トーキー,Talkie
変種,Variety
朝方,Dawn
関根,Sekine
顔料,Pigment
薄れる,Fade
貞治,Sadaharu
退治,Extermination
アベニュー,Avenue
御飯,rice
ロナルド,Ronald
応仁,Onin
酋長,Chief
消去,Erasing
マーキュリー,Mercury
ペルシア語,Persian
あつ,Filed
アーネスト,Ernest
ウィリー,Willie
ガーナ,Ghana
文言,Wording
公論,Public opinion
因果,Cause and effect
メタン,methane
野中,Nonaka
形作る,form
反戦,Anti-war
ニース,Nice
関連付ける,Associate
音波,Sound wave
鰻,eel
谷山,Taniyama
賢治,Kenji
立派,fine
育児,Child care
島民,islanders
マダガスカル,Madagascar
ソプラノ,soprano
ダクト,duct
マーラー,Mahler
立ち会う,witness
ジョーク,joke
オルレアン,Orleans
グリーンランド,Greenland
破門,Anathema
ソヴィエト,Soviet
ノルマン,Norman
後身,Successor
中流,Midstream
動植物,Flora and fauna
土星,Saturn
ヤコブ,Jacob
娘婿,Adopted son-in-law
同化,Assimilation
乱用,abuse
佐々,Sasa
兜,helmet
長谷,Hase
首謀,Ringleader
材木,timber
ドロップ,drop
チェロキー,Cherokee
プラット,Pratt
ドッキング,docking
範疇,category
アンカー,anchor
コネクタ,connector
抒情,Lyricism
新鮮,fresh
朝刊,Morning newspaper
欲,Greed
モザンビーク,Mozambique
兼用,Combination
爆薬,explosive
生還,Survivor
親指,thumb
ハンプトン,Hampton
イレブン,Eleven
エクス,Aix
おかしい,Strange
装う,Dress
転職,Change of occupation
鯖,mackerel
無期,Indefinite
白紙,White paper
白黒,Black-and-white
着色,Coloring
忽ち,immediately
松崎,Matsuzaki
ハングル,Hangul
フレームワーク,Framework
飽きる,Get tired of
グリップ,grip
ウェストミンスター,Westminster
邪魔,Hindrance
電停,Dentoma
日田,Hita
ランニング,running
失策,faux pas
川辺,Kawabe
尾上,Onoe
極楽,Paradise
ランカスター,Lancaster
ワトソン,Watson
単勝,Win
グランドスラム,Grand slam
フォア,Fore
バドミントン,badminton
贈呈,Presentation
糾弾,Blame
軽快,Light
錯体,Complex
父方,Paternal
アイデンティティー,identity
新春,New Year
セルジューク,Seljuk
ずる,Sly
オレンジ色,Orange
計器,Meter
義兄,Brother-in-law
須磨,Suma
リカ,Rika
初年,First year
上皮,Epithelium
念仏,Buddhist prayer
朽ちる,Rot
殲滅,Annihilation
マイヤー,Meyer
遺骨,remains
福澤,Fukuzawa
総集編,Omnibus
華やか,Brilliant
桶,Tub
凍る,Freeze
刑罰,punishment
大黒,Daikoku
極秘,Absolute secrecy
論じる,Discuss
音域,Register
カルタゴ,Carthage
ウインド,Wind
サント,Santo
出所,source
均等,Equality
侵食,Erosion
ボナパルト,Bonaparte
ポッド,Pod
ポリス,Police
イオンモール,Aeon Mall
電線,Electrical wire
細工,Work
下方,Lower part
丸子,Round goldfish
京畿,Gyeonggi
嘱託,Commission
後見,guardianship
好ましい,preferable
川端,Riverside
ラッキー,lucky
刷る,print
アマゾン,Amazon
ダンカン,Duncan
破裂,rupture
税務,Tax
海浜,Beach
離島,Remote island
利子,interest
前記,Said
勲一等,Kun'itto
歌集,Anthology
引き連れる,Take along
強襲,Assault
明応,Akira応
楓,Kaede
榊原,Sakakibara
妄想,Delusion
エアバス,Airbus
こば,Lumberyard
クライン,Klein
大理石,marble
机,desk
武雄,Takeo
捜す,search
合奏,ensemble
霊場,Sacred Sites
覚え書き,Note
裕子,Yuko
裾,hem
賛美,praise
足跡,Footprint
巡業,Provincial tour
アクセサリー,Accessories
アリストテレス,Aristotle
ペンギン,Penguin
メビウス,Mobius
ポインター,pointer
格段,Remarkable
決行,Or shine
飼料,feed
突き出す,Project
随行,Attendant
短命,Short life
服用,Dosing
嫌悪,Aversion
埴輪,Haniwa
リバイバル,Revival
スマトラ,Sumatra
ハサン,Hasan
フェルト,felt
ユニバーシアード,Universiade
小谷,Kotani
帝都,Imperial capital
恋う,Be in love
抗戦,Kosen
エタノール,ethanol
睦,Mutsumi
蒙古,Mongolia
木更津,Kisarazu
冗談,joke
吉宗,Yosso
ヴォルガ,Volga
毎分,Per minute
クロスオーバー,crossover
シャシー,Chassis
ソード,Sword
ダイビング,diving
連日,Every day
遵守,Observance
納税,Payment of taxes
高尾,Takao
シークレット,secret
名手,Expert
チャット,chat
ハント,hunt
エディタ,editor
高瀬,Takase
誘発,Induction
牛肉,beef
税制,Tax system
序曲,Overture
失望,Disappointment
川本,Kawamoto
レギュレーション,regulation
エリオット,Elliott
秋元,Akimoto
迷惑,Trouble
聖公会,Anglican
駆ける,Kakeru
塩田,Salt
殉教,Martyrdom
マシーン,machine
シュタイン,Stein
押し切る,Oshikiru
實,Minoru
生家,Birthplace
ニックス,Knicks
トライアングル,Triangle
マリーンズ,Marines
フェンス,fence
挑発,Provocation
散布,Dissemination
ヴァージン,Virgin
おお,Oh
良質,Good quality
荒井,Arai
釜石,Kamaishi
礎,Cornerstone
春風,Spring breeze
ラング,Lang
加納,Kano
勧請,Emotion
商学部,Faculty of Commerce
啓発,Enlightenment
座礁,Aground
定価,List price
ヘッドライト,Headlight
スピリッツ,Spirits
バンパー,bumper
大竹,Otake
昇段,Dan
正史,Authentic history
延享,NobeToru
鉄製,Made from iron
阪和,Hanwa
箕面,Minoo
御殿場,Gotemba
安徽,Anhui
家長,patriarch
モットー,motto
モーメント,Moment
東洋大,Toyo
染む,Sim
常備,Standing
恐らくは,Possibly
資する,To contribute
スタンプ,stamp
カメルーン,Cameroon
スキャン,scan
ありがとう,Thank you
アンヌ,Anne
大館,Odate
局員,Clerk
倍率,magnification
八千代,Yachiyo
前照灯,Headlight
告訴,Complaint
ポータル,Portal
逓信,Teishin
鉄工,Iron Works
浴びせる,Pour on
放電,Electrical discharge
散見,Seen here and there
十和田,Towada
レプリカ,replica
水温,water temperature
風力,Wind power
蒼,Ao
肇,Hajime
脊索,Notochord
非合法,illegal
萌,Moe
落札,Bid
応急,emergency
利己,Self-interest
半田,solder
厚身,The thickness
ジュリア,Julia
カタリナ,Catalina
パット,Pat
デート,Date
フリート,The fleet
凧,kite
支柱,Prop
果樹,Fruit tree
会所,Meeting place
賛否,Approval and disapproval
猛烈,Vehement
迷宮,Labyrinth
長ける,Takeru
上手,Proficient
操車場,Yard
方角,direction
右腕,Right arm
ビジター,visitor
ベネディクト,Benedict
ロバーツ,Roberts
壱岐,Iki
尻尾,tail
蜻蛉,dragonfly
要人,VIPs
イブニング,evening
つい,Just
クリストフ,Christoph
前座,Opening performance
唐代,Tang Dynasty
恐ろしい,That's horrible
三陸,Sanriku
亜熱帯,Subtropics
華北,North China
見習う,Emulating
租税,Taxation
バビロニア,Babylonian
ローリー,Raleigh
ヴォルフガング,Wolfgang
水兵,Sailor
ヨット,Yacht
累積,Accumulation
紳助,Shinsuke
蒸発,evaporation
請う,Ask
盟友,Sworn friend
キャノン,Cannon
アルペン,Alpine
バーンズ,Burns
ブカレスト,Bucharest
ユニバーサルミュージック,Universal Music
振れる,Swing
家中,Whole house
時差,time difference
本流,Main current
今村,Imamura
全幅,Overall width
やむない,Yamunai
畝,Ridge
今年,this year
作れる,Can make
旅人,traveller
ヴュルツブルク,Wurzburg
実情,Actual situation
只見,Tadami
合わす,Match
ロールプレイング,Roleplaying
ことごとく,Entirely
サントス,Santos
清和,Seiwa
濃縮,concentrated
西成,Nishinari
説話,Narrative
突厥,Turkic
開基,Open group
伸す,Roll out
何と,What
打ち立てる,Uchitateru
壮大,magnificent
宮司,chief priest
上智,Supreme wisdom
本間,Honma
窃盗,theft
マート,mart
湿原,Wetlands
狭隘,Narrowness
病床,Sickbed
銅像,Bronze statue
昨年,last year
柚子,Citron
冬期,Winter
観世,Kanze
セネガル,Senegal
ホワイトハウス,White House
フレッシュ,fresh
過大,Excessive
由緒,Pedigree
嘆願,Petition
森本,Morimoto
挫折,Frustration
外傷,Trauma
尽きる,run out
錯誤,Mistake
随一,Best
発起人,Founders
翠,Midori
達人,Expert
序文,preface
房総,Boso
断定,Conclusion
初動,Initial
堂々,proudly
ミトコンドリア,Mitochondrion
メキシコシティ,Mexico City
トルーマン,Truman
左腕,Left arm
献金,Donation
疫病,Plague
発券,Ticketing
関門,barrier
飢餓,hunger
線量,dose
鴨川,Kamogawa
機運,Opportunity
丈夫,Strong
トレーラー,trailer
カウンティ,County
クレメンス,Clemens
模擬,Imitation
既婚,married
創世,Genesis
名実共に,Both in name and reality
聖子,Seiko
ソ,Seo
ブルック,Brook
ヘンリク,Henrik
バッジ,badge
サバンナ,Savannah
片道,one way
謹慎,House arrest
頒布,distribution
頭脳,brain
角田,Tsunoda
象る,Symbolize
列記,Listed
巻末,End of a book
放牧,grazing
コスプレ,Cosplay
ガンバ,Gamba
渤海,Bohai
バース,Berth
タンゴ,Tango
品目,Items
塩谷,Shioya
山野,Yamano
久美子,Kumiko
板垣,Itagaki
啓示,revelation
執事,Butler
溜め池,Pond
爬虫類,reptiles
登校,Attendance
押し寄せる,Push aside
失調,Ataxia
その分,That amount
プラグ,plug
平仮名,hiragana
明瞭,clarity
病弱,Weak constitution
精鋭,elite
シュル,Sur
ストーンズ,Stones
エクアドル,Ecuador
北伐,Northern Expedition
城跡,Castle Ruins
安楽,Comfort
ベンチャー,Venture
バッグ,bag
量販,Mass
銀色,Silver color
隠岐,Oki
桜花賞,Oka Sho
度合い,Degree
放水,Drainage
ストライカー,striker
スパイダー,spider
パーフェクト,Perfect
後編,Sequel
佳作,Fine work
兵站,Supply train
仕方,Way
尚も,Still
支隊,Task force
ハイドン,Haydn
ズボン,pants
スクリュー,screw
ジェット機,Jet
オリエント,Orient
サンズ,Sands
手足,limbs
揚陸艦,Landing craft
行程,Distance
親和,Affinity
競泳,Swimming race
テント,tent
宝物,treasure
腺腫,Adenoma
自在,freely
節約,Saving
長屋,Nagaya
番頭,Clerk
発火,Firing
観賞,Admiration
試料,sample
マインツ,Mainz
ビラ,Villa
ゴルファー,golfer
アウクスブルク,Augsburg
厳重,Strict
古文書,Ancient document
柳生,Yagyu
手話,sign language
球技,Ball Games
アウディ,Audi
カノン,Canon
東大阪,Higashi-Osaka
密教,Esoteric Buddhist teachings
酒田,Sakata
高津,Takatsu
葱,Spring onion
クレア,Claire
下顎,lower jaw
主眼,Main point
レイティング,Rating
新進党,Shinshinto
凝る,Congeal
パラレル,parallel
プラトン,Plato
アーセナル,Arsenal
イジー,Izzy
巡査,Police
検地,Kenchi
ロベール,Robert
独学,Self-study
ブラックホール,Black Hole
レクリエーション,Recreation
国文,National literature
不規則,Irregularity
俳人,Haiku poet
手持ち,Holding
抜粋,Excerpt
押し付ける,Press
中興,Revival
チェンバレン,Chamberlain
薦める,recommend
篠山,Sasayama
陸海軍,Army and Navy
生き物,Living thing
在外,overseas
アレクセイ,Alexei
アンモニア,ammonia
ダーツ,darts
ツェッペリン,Zeppelin
フロム,From
携行,Carrying
奥村,Okumura
シューマン,Schumann
カーボン,carbon
ナッシュ,Nash
準える,Liken to
男の子,boy
高低,High and low
購買,purchase
通行止,closed for traffic
花月,Kagetsu
布陣,Lineup
三和,Sanwa
担任,Homeroom teacher
採点,Grading
法会,Hoe
南洋,Nanyang
ノズル,nozzle
ハンナ,Hannah
クラウ,Krag
波及,Spread
湧き水,Spring water
飯島,Iijima
西野,Nishino
千秋楽,Final day of a sumo tournament
名勝,Scenic spot
壕,Moat
主観,Subjectivity
推論,inference
カリスマ,Charisma
アスキー,ASCII
コンスタンティノープル,Constantinople
空爆,The bombing
米原,Yonehara
醸す,Brew
阿武,Abu
鹿屋,Kanoya
従える,Subdue
原文,Original
ワンダー,Wonder
今尚,Still
寛容,tolerance
集権,Centralization
窮地,Predicament
翻す,Flutter
脚光,Limelight
蔓延,Spread
独創,Originality
チャー,Char
メソポタミア,Mesopotamia
生化学,Biochemistry
連打,Barrage
神谷,Kamiya
美穂,Miho
船首,bow
安井,Yasui
安保,security
法曹,Legal profession
杉田,Sugita
両岸,Both banks
伸長,Extension
先導,Lead
マグマ,magma
ミカエル,Michael
パラシュート,parachute
スイング,swing
螺旋,Spiral
鬱病,depression
浦安,Urayasu
園田,Sonoda
文体,Literary style
悪性,Malignancy
四股名,Sumo wrestler's stage name
佐川,Sagawa
兼ね備える,Combine
脩,Dried meat
軍機,Military secret
エドワーズ,Edwards
オホーツク,Okhotsk
伯耆,Hoki
全軍,Army
地検,District Public Prosecutors Office
ランチャー,Launcher
復位,Reseating
極力,To the utmost
比叡山,Mount Hiei
ニューズ,News
独断,Opinionated
漢方,Chinese medicine
防備,Defense
リハーサル,rehearsal
営団,Corporation
土方,Hijikata
あたかも,If they were
プランテーション,Plantation
フィリーズ,Phillies
出国,Departure
中性,neutral
横川,Yokogawa
皇居,Imperial Palace
目付き,Expression of the eyes
漢文,Chinese literature
凸,Convex
咳,cough
引き離す,Pull away
恵子,Keiko
コンラート,Konrad
海道,Kaido
野沢,Nozawa
打楽器,Percussion instrument
元就,Motonari
今や,now
格上げ,Upgraded
壬生,Mibu
孤児,Orphan
カント,Kant
狭間,Hazama
芝生,grass
茶道,tea ceremony
人家,House
文様,Patterns
加担,Complicity
ロックンロール,Rock 'n' roll
ベンダー,vendor
スティック,stick
一端,one end
子弟,Young people
彼方,Yonder
貯蓄,savings
購読,Subscription
真に,truly
バラク,Barack
ヘレン,Helen
呼び戻す,Call back
アソシエーション,association
インディアナポリス,Indianapolis
珊瑚,coral
磁石,magnet
税法,Tax regulations
百科,Encyclopedia
雉,pheasant
記入,Record
公道,Public road
武豊,Taketoyo
強打,Whack
妬く,Be jealous
大井川,Oigawa
巡視,Inspection tour
解離,dissociation
蹄,hoof
メイン,Maine
メソジスト,Methodist
プジョー,Peugeot
マグネシウム,magnesium
稚内,Wakkanai
能楽,Noh play
御互いに,To control each other
曲名,Song Title
サクラメント,Sacramento
エンリケ,Enrique
温室,greenhouse
中嶋,Nakajima
井田,Ida
呼び寄せる,Summon
ジェネラル,general
ストリートファイター,Street Fighter
ナンシー,Nancy
神名帳,God name book
神風,Kamikaze
触発,Inspired by
秀雄,Hideo
ルーター,router
ヨウ素,Iodine
村松,Muramatsu
枯渇,Drying up
捏造,Forgery
腎臓,kidney
熱血,Hot blood
隔週,Biweekly
セレクト,Select
ナイン,Nine
ボウル,bowl
弩級,Crossbow class
成瀬,Naruse
新選組,Shinsengumi
労働者党,Workers' Party
北原,Kitahara
叶える,Grant
残虐,Brutality
グルコース,glucose
鞘,sheath
洋上,Offshore
浦上,Urakami
真一,Shinichi
秋月,Akizuki
返答,Reply
欠乏,deficiency
待合,Waiting
レズビアン,A lesbian
ロッカー,Locker
ワイオミング,Wyoming
坂東,Bando
妻子,Wife and children
エキス,extract
クラウド,Cloud
豆腐,Tofu
職種,Occupations
自粛,Self-discipline
球界,Baseball
引き金,trigger
残酷,Cruel
創出,Creation
古参,Seniority
微細,Micro
亥,North-northwest
エヴァ,Eva
ストラスブール,Strasbourg
トリガー,trigger
チョーク,Chalk
亀裂,crack
彷彿たる,Reminiscent serving
増結,Hematopoiesis
レシプロ,Reciprocating
複葉,Biplane
解ける,Loosen
藤枝,Fujieda
進攻,Invasion
移譲,transfer
半期,half period
南宋,Southern Song
柳田,Yanagida
段丘,Terraces
未熟,immature
正方形,square
不評,Unpopularity
中森,Nakamori
墨田,Sumida
ベビー,baby
ケイン,Cain
カオス,chaos
砲火,fire
積み重ねる,Pile
植生,Vegetation
レキシントン,Lexington
土産,gift
マンガン,manganese
クルト,Kurt
サンタフェ,Santa Fe
ことだ,Thing
図案,Design
夭折,Premature death
狭軌,Narrow Gauge
フェルナンデス,Fernandez
フュージョン,Fusion
バラバラ,Apart
太宗,Taejong
囃す,play accompaniment
地味,sober
智子,Tomoko
三菱重工業,Mitsubishi Heavy Industries
カヌー,Canoe
エイリアン,alien
エコー,echo
繊細,delicate
湯浅,Yuasa
農協,Agricultural cooperative
選べる,Choose
安東,Andong
引き摺る,Seduce
捕縛,Capture
数理,Mathematics
整形,Shaping
権益,Interest
江西,Jiangxi
一雄,Kazuo
プライバシー,privacy
プログレッシブ,progressive
布施,Alms
漏洩,leakage
オリオールズ,Orioles
コスモ,Cosmos
シェパード,Shepherd
アリア,Aria
子育て,Raising children
京阪神,Keihanshin
チャド,Chad
違憲,Unconstitutional
稲田,Inada
能勢,Nose
腐食,corrosion
花崗岩,granite
漉す,strain
伏せる,Turn smth. Over
正直,Honesty
シュー,Shoe
オフェンス,Offense
カビ,Mold
キリシタン,Christian
宇佐,Usa
割り振る,Assign
加害,Assault
一掃,Clean out
傾ける,Tilt
特製,Special
異説,Different opinion
経口,Oral
脅す,threaten
ビックリ,Surprised
マグニチュード,magnitude
歯学,Dentistry
岸田,Kishida
恩赦,pardon
揉む,Rub
コネクション,connection
締め括る,Superintend
葉山,Hayama
親父,father
皇太后,Queen Mother
都度,Each time
往年,Former
手榴弾,Grenade
上村,Uemura
不倫,Adultery
二塁打,double
全焼,Burned down
外壁,outer wall
山毛欅,Beech
弾劾,impeachment
本隊,Main force
湯沢,Yuzawa
海流,Ocean current
和議,Wagi
多忙,Busy
寺内,Terauchi
届け出る,Report
リニア,linear
レジスタンス,resistance
ウィレム,Willem
シンポジウム,Symposium
金日成,Kim Il Sung
国力,National power
技巧,Finesse
模範,Model
リカルド,Ricardo
京大,Kyoto University
内裏,Imperial palace
時効,Statute of limitations
本庁,Main Office
集配,Collection and delivery
至る所,Everywhere
洋一,Yoichi
火砲,artillery
白泉社,Hakusensha
綾瀬,Ayase
杵,Pestle
次走,Tsugihashi
クレイグ,Craig
黒潮,Japan Current
注力,Focus
直進,Straight
相生,Aioi
風速,wind speed
鹵獲,Prize of war
承和,Uketamawawa
ワークショップ,workshop
停電,Power cuts
光度,Luminous intensity
ヒムラー,Himmler
パープル,purple
三女,Third daughter
徴用,Requisition
母港,Home port
刈谷,Kariya
因幡,Inaba
培う,foster
夏期,summer
帰順,Submission
筆名,Pseudonym
苦痛,pain
身延,Minobu
びわ,Loquat
まとも,Decent
ステロイド,steroid
コルベット,Corvette
サイバー,cyber-
外出,Go out
月光,moonlight
栗東,Ritto
欠損,Deficit
人参,carrot
税関,Customs
許諾,Consent
転勤,Transfer
飴,candy
直立,upright
ウィンター,Winter
プロレタリアート,proletariat
修験,Ascetics
先手,First move
機長,Pilot
大道,Avenue
一挙,One effort
仕込む,Teach
其先,其先
性交,Sexual intercourse
教え子,Student
サーブ,Serve
ジュゼッペ,Giuseppe
滅ぶ,Perish
軍服,Military uniform
プロモーター,promoter
ピエトロ,Pietro
プロパガンダ,propaganda
ベール,Veil
ペプチド,peptide
ボンネット,bonnet
ミニチュア,Miniature
ジュニアグランプリ,Junior Grand Prix
ゲーテ,Goethe
サイコロ,Dice
念頭,mind
敬遠,Shunned
棲む,Dwells
寵愛,Favor
モニュメント,Monument
嗅ぐ,smell
荒野,wilderness
目白,Mejiro
駆除,Extermination
砂浜,Sandy beach
生野,Ikuno
キャニオン,Canyon
オリバー,Oliver
ボンド,bond
手本,Model
ヴワディスワフ,Wladyslaw
未婚,Unmarried
少子,Low birth rate
左遷,Demotion
懸賞,Sweepstakes
抱卵,Incubation
中傷,Slander
個数,Number
加水,Hydrolysis
クモハ,Kumoha
被せる,Cover
空調,air conditioning
神仏,Shinto and Buddhism
音階,Musical scale
襞,Pleats
試薬,reagent
ケプラー,Kepler
きちんと,Neatly
カーテン,curtain
エイト,Eight
処する,Treatment to
杭,Stake
格下げ,Downgrading
抑留,Internment
数量,quantity
台座,pedestal
行き詰まる,Bogged down
白地,White background
簡潔,Brevity
防水,waterproof
来航,Arrival by ship
森下,Morishita
入校,Enrollment
一男,Eldest son
昇級,promotion
断崖,cliff
連戦,Series of battles
どうしても,Surely
クォーク,quark
蝙蝠,bat
車道,roadway
演義,Commentary
抑止,Suppression
吹雪,Snowstorm
柳沢,Yanagisawa
パルプ,pulp
ヘーラクレース,Heracles
チェチェン,Chechnya
白馬,Hakuba
首班,Prime minister
アイザック,Isaac
オートレース,Auto race
宴会,Banquet
向島,Mukojima
供述,Statement
村井,Murai
大雨,heavy rain
頭痛,headache
跳ねる,Jump
苔,moss
マリナーズ,Mariners
スティーヴンス,Stevens
いざ,Emergency
転任,Change of post
連座,Implicated
張り出す,Jut
憲政,Constitutional government
在京,Tokyo
メイキング,making
ニカラグア,Nicaragua
ピッコロ,Piccolo
陝西,Shaanxi
淘汰,selection
濃厚,Richness
社民党,Social Democratic Party
自著,His book
なぜなら,Because
出遅れる,get a late start
丸亀,Marugame
期日,Deadline
桜田,Sakurada
脱水,dehydration
雲雀,Skylark
透,Toru
浜崎,Hamasaki
用具,Tool
登頂,Summit
銃殺,Death by shooting
長良川,Nagara
返却,Return
本業,Core business
剃る,shave
川下,downstream
打開,Break
豹,Panther
縞,Stripe
マウンド,mound
エルヴィス,Elvis
重油,heavy oil
食肉,meat
感想,Impressions
呉服,Dry goods
木霊,Kodama
宗谷,Soya
タップ,Tap
ベッドタウン,Bed town
バスケット,basket
タンザニア,Tanzania
音程,Interval
視認,Visibility
赤旗,Red flag
インストゥルメンタル,instrumental
ゲットー,ghetto
コロンブス,Columbus
空洞,cavity
結束,Unity
冷える,Cool down
国庫,National treasury
康夫,Yasuo
弘治,Koji
共済,mutual aid
励ます,encourage
女房,wife
山荘,Mountain retreat
摘発,Exposing
グリッド,grid
メディアワークス,Media Works
筈,Should
高角砲,High-angle gun
症例,Cases
論議,Discussion
測る,measure
スタッド,stud
不定,Indefinite
ルビー,Ruby
ワーキング,working
治癒,healing
欠如,lack
前哨戦,Skirmish
勝ち星,Kachiboshi
ローラン,Laurent
家柄,Pedigree
小諸,Komoro
頬,cheek
ホビー,Hobby
バプテスト,Baptist
バングラデシュ,Bangladesh
来訪,Visit
主幹,Chief editor
先ずは,First
撫子,Nadeshiko
レジェンド,legend
リサイタル,recital
シリアス,serious
郵船,Yusen
開祖,Originator
済ませる,Dispensed
混入,Mixing
渡り歩く,Wander from place to place
火葬,Cremate
酪農,dairy
頑丈,Sturdy
ラッパー,Wrapper
七郎,Shichiro
天空,sky
失効,Lapse
帆船,Sailing ship
幸雄,Yukio
強奪,Extortion
成城,Seijo
フロイド,Floyd
プーチン,Putin
拍車,spur
文科,Humanities
正四位,Positive four place
阪急電鉄,Hankyu
直子,Naoko
転機,turning point
ストーム,storm
ウォーク,Walk
ねえ,Hey you
アスリート,athlete
カフカース,Caucasus
リュウ,Liu
久慈,Kuji
使役,Causative
リンチ,Lynch
冷静,calm
ゾフィー,Sophie
ドリンク,Drink
遥,Haruka
隅田,Sumita
出入り口,Exit and entrance
儒教,Confucianism
タブレット,Tablet
ドンドン,Don Don
ブランク,blank
退院,Leaving hospital
自民,The Liberal Democratic Party
ゴールデングローブ,Golden Globe
北島,North Island
前川,Maekawa
我が国,Our country
長所,Advantages
餓鬼,brat
直角,Right angle
衣料,Clothing
門前,Concealed
魔神,Devil
新旧,New and old
国策,national policy
中南米,Central and South America
スノー,snow
饅頭,Manju
井原,Ihara
手助け,help
北沢,Kitazawa
宣誓,oath
小出,Koide
差し出す,Hold out
フッド,Hood
ヘルス,health
重症,Serious illness
瀬戸内,Setouchi
達磨,Tumbling doll
村人,Villager
です,is
トレードマーク,trademark
バレル,barrel
嬉しい,happy
少々,a little
台南,Tainan
逸脱,Deviation
部材,Element
父母,Father and mother
由良,Yura
アロンソ,Alonso
人吉,Hitoyoshi
公然たる,Overt
強風,High winds
マキ,Maki
セール,Sale
近付ける,Close
総勢,All members
配管,Piping
救世,Salvation
山科,Yamashina
なんば,Namba
カルデラ,caldera
ダイハツ,Daihatsu
パウンド,Pound
プライド,Pride
ディエゴ,Diego
塗料,paint
探求,Quest
縄張り,Demarcation
ケット,Ket
グリフォン,Griffon
二本松,Nihonmatsu
ワルツ,Waltz
税率,tax rate
矛,Halberd
隠蔽,hiding
海事,Maritime affairs
痛い,painful
アントワーヌ,Antoine
コックス,Cox
ベルン,Bern
大乗,Mahayana
宗像,Munakata
寡婦,widow
小作,Peasants
振り付ける,Choreographed
接種,Inoculation
受給,Beneficiaries
中津川,Nakatsugawa
人柄,personality
コンペティション,Competition
ウォン,won
波形,Waveform
ホイットニー,Whitney
スピーチ,speech
スラム,Slam
漏らす,Reveal
絶えず,constantly
考証,Investigation
満期,The maturity
陶芸,Ceramics
インターセプト,Intercept
グアテマラ,Guatemala
コンプレックス,complex
中米,Central America
明かり,Light
桟橋,Jetty
欅,Zelkova
不備,Inadequacy
侵す,Violate
技量,skill
オニール,O'Neill
ペイント,paint
投じる,cast
別物,Another thing
安城,Anjo
隔月,Every second month
龍造寺,Ryuzoji
被疑者,Suspects
潜む,Lurk
シルエット,silhouette
コンベンション,Convention
媒介,Intermediary
子息,son
和製,Japanese-made
ホワイトソックス,White Sox
ナショナリズム,nationalism
無くす,lose
遠方,Distant place
中絶,abortion
弟子入り,Apprenticeship
急襲,Raid
ワンセグ,Seg
テオドール,Theodor
ニューカッスル,Newcastle
超伝導,Superconductivity
銅山,copper mine
降着,Accretion
エヴァンズ,Evans
旭,Asahi
永享,Eikyō
弾性,Elasticity
奉還,Hokan
乗換,transfer
下地,Foundation
中級,Intermediate Level
楽しみ,Pleasure
弱める,Weaken
見せ付ける,Misetsukeru
見下ろす,Overlook
邦楽,Japanese music
終止符,end
自爆,Suicide
町民,Townspeople
ギャル,Gal
りぼん,Ribbon
アジアカップ,Asian Cup
キリル,Cyrillic
東條,Tojo
主計,Accountant
低音,bass
バレンタイン,Valentine
ソリューション,solution
ダイヤル,Dial
ティーン,Teen
和也,Kazuya
座敷,Tatami room
既知,Well-known
ギニー,Guinea
コレクター,collector
浄水,Clean water
熟成,Aging
釣,Fishing
院生,Graduate student
耕地,Arable land
胼胝,callus
先天,Congenital
合図,Signal
決裂,Breakdown
パワフル,powerful
セクシー,sexy
メカニック,Mechanic
イエメン,Yemen
アミン,Amine
オートマチック,automatic
化物,monster
夏目,Natsume
大家,Landlord
優子,Yuko
試運転,Test run
フォスター,Foster
伝授,Initiation
リガ,Riga
ロイヤルズ,Royals
本能寺,Honnouzi
橿原,Kashihara
坊主,Buddhist priest
城東,Joto
サトシ,Satoshi
アロー,Arrow
遊泳,Swimming
鋏,scissors
灰汁,Lye
刻印,Carved seal
恩師,Former teacher
悲願,Dearest wish
惜しくも,Narrowly
パラドックス,paradox
懲戒,Reprimand
残高,Balance
物議,Public discussion
野間,Noma
絵図,Illustration
軽視,Slight
はまる,Fit
全高,Height
天領,Shogunate control
山岡,Yamaoka
レフト,left
精錬,smelting
額面,Face value
館山,Tateyama
界磁,Field
贈り物,gift
まちづくり,town planning
やむ,Letting up
コラボ,Collaboration
セーラー,Sailor
ヴェネト,Veneto
ロードアイランド,Rhode Island
水蒸気,water vapor
同情,sympathy
怪奇,Strange
馬術,Horsemanship
筑豊,Chikuho
組み入れる,Incorporated
渉,Wataru
ブリティッシュコロンビア,British Columbia
トレーディング,trading
ナビゲーター,Navigator
マーベル,Marvel
手放す,Release
武漢,Wuhan
一味,A little bit
発芽,Germination
荊州,Jingzhou
複素数,Complex
菌類,Fungus
獄中,During imprisonment
鉄人,Iron Man
ニューハンプシャー,New Hampshire
フィーチャー,Feature
ブール,Boolean
さやか,Sayaka
アット,at
国学,Kokugaku
城塞,Citadel
岩城,Iwaki
伊奈,Ina
三枝,Saegusa
丑,Ox
入道,priest
有り様,Arisama
粉砕,Pulverization
アルデヒド,aldehyde
イチロー,Ichiro
ガンガン,Pounding
早大,Waseda
今夜,tonight
振り分ける,Distributes
文教,Bunkyo
常緑,Evergreen
チョン,Chong
酒類,Alcoholic drinks
集大成,The culmination
音符,note
遊撃,Shortstop
上奏,Report to the throne
再任,Reappointment
